patient_id,given_name,surname,street_number,address_1,phone_number,address_2,postcode_updated,state_updated,suburb_updated,dob_updated,age_final
356508,elysse,mcfadden,139.0,None,03 03154433,john flynn medical centre,7277,tas,adamstown,1960,60
903591,amber,jardine,10.0,jauncey court,03 85949652,None,5272,sa,coconut grove,1936,84
996942,zachary,piazza,772.0,beaney street,02 36108470,rsd frareen,2223,nsw,manunda,1975,45
206530,harrison,hare,7.0,wheatley street,04 16239330,None,4702,qld,clayton,1912,108
704365,sienna,burford,7.0,hampton circuit,0,None,3191,vic,winston hills,2000,20
922352,beau,stanislaus-large,2.0,falkiner place,04 56711586,None,2049,nsw,kirribilli,2009,11
560337,david,lock,33.0,forbes street,07 61485586,carowood,2580,nsw,toowoomba,1980,40
824839,kyle,tidey,6.0,tepper circuit,02 19290052,None,4118,qld,frankston,1901,119
905889,jack,nguyen,14.0,cobb crescent,08 42240934,mayflower retrmnt vlge,2204,nsw,keilor,1983,37
559773,aurora,bligh,2.0,batman street,07 40832133,roachdale,4745,qld,clayfield,1950,70
308261,mhary,tao,49.0,howitt street,03 17006533,killarney,2142,nsw,melville,1974,46
864469,shannon,kilby,6.0,eucumbene drive,08 48291979,tarwyn park,2165,nsw,preston,1950,70
441097,jessica,longo,70.0,castieau street,07 04812792,None,2088,nsw,repton,1988,32
415139,noah,passone,43.0,alfred hill drive,08 01988351,None,2428,nsw,albion park,1999,21
271829,jacob,crosswell,16.0,ranken place,07 47558847,tulakan,4030,qld,beaumont,1977,43
371836,jessica,matthews,8.0,throsby crescent,08 01434627,bella dona,3183,vic,glenbrook,1937,83
538974,sam,scattini,7.0,phillis place,07 16064606,None,2293,nsw,birrong,1936,84
302283,annika,korfia,9.0,parker street,02 19818294,None,2480,nsw,burwood east,1936,84
296769,julia,coleman,13.0,endeavour street,08 27652845,None,3109,vic,clayton,1912,108
661353,beth,clarke,50.0,osmand nstreet,08 91194518,None,836,nt,port macquarie,1975,45
323165,taylor,binns,2.0,dunbar street,08 99185004,sec 528,4455,qld,mount annan,1900,120
723587,samantha,dudley,43.0,mainwaring rich circuit,02 83199378,None,6066,wa,ardeer,1943,77
635822,blake,rollins,5.0,tullaroop street,08 11090930,None,4215,qld,boronia heights,1959,61
587879,lillianna,mdonald,12.0,newman morris circuit,03 90265874,hazel hill,3000,vic,coombabah,1935,85
664685,jack,lyden,40.0,northmore crescent,04 65877742,None,4069,qld,palmerston,1945,75
882038,corie,tsamandanis,4.0,eaglemont retreat,02 04698047,ainslie nursing home,3658,vic,harris park,1933,87
453531,tara,parr,5052.0,burnell place,03 94670748,moorilla,7330,tas,burringbar,1984,36
363160,megan,weaver,37.0,macadam street,04 83500862,tongul,2782,nsw,labrador,1971,49
679879,jassim,preo,21.0,sprent street,08 23028097,None,4207,qld,thornleigh,1941,79
320884,david,reid,5.0,colvin street,02 91666981,None,3152,vic,marayong,1948,72
123247,lauren,pavli,11.0,hugh mckay crescent,03 64295210,None,2612,act,greenacre,1931,89
124300,william,reid,8.0,janari place,07 87502668,None,2045,nsw,boyne island,1977,43
567281,deakin,moody,7.0,edmunds place,03 50711757,None,3130,vic,burrum heads,1918,102
707086,jackson,fitzpatrick,101.0,spalding street,02 07017846,None,2316,nsw,medindie gardens,1939,81
633556,mitchell,goode,18.0,barnard circuit,04 23259623,ulabri,2519,nsw,north turramurra,1916,104
448951,connor,clarke,15.0,mudie place,02 23822510,coorabil,7250,tas,elwood,1974,46
374329,brianna,campbell,17.0,wynn street,03 52094393,None,3104,vic,miller,1936,84
819064,heath,verner,10.0,darwinia terrace,03 61786702,None,2041,nsw,eaglehawk,1941,79
842139,sascha,blaschke,38.0,pennefather street,07 01568694,None,2166,nsw,atwell,1976,44
532315,toby,weaver,37.0,mcclelland avenue,07 75231889,villa 375,4350,qld,applecross,1965,55
616588,thomas,cochrane,86.0,springvale drive,04 15903768,None,3152,vic,paralowie,1918,102
336584,georgia,white,8.0,None,03 19887207,None,2161,nsw,swan hill,1995,25
662332,thomas,godfrey,11.0,dwyer street,03 26549723,None,2111,nsw,keysborough,1968,52
937646,joel,meaney,88.0,lindwall place,03 94354415,wirreanda vlge,5117,sa,lakemba,1944,76
476896,timothy,george,29.0,mugglestone place,02 92564134,None,3127,vic,garfield,1906,114
148984,heath,blazey,27.0,louisa lawson crescent,03 45394670,None,2066,nsw,tarragindi,1995,25
402918,georgia,ottewell,9.0,barden place,04 53548231,None,2195,nsw,moorabbin,1917,103
364712,mason,thorpe,14.0,eldridge street,02 82459158,None,3216,vic,west lakes shore,1902,118
220151,jayden,patience,32.0,huntly,02 42418826,southwood haven,2142,nsw,dianella,1989,31
555808,victoria,le lievre,5.0,bainton crescent,08 77202654,None,3289,vic,None,1998,22
233767,anthea,brain,244.0,rosella street,0,None,3337,vic,north haven,1984,36
748663,alicia,crook,16.0,jabanungga avenue,03 73321820,goldenoaks village,3195,vic,buff point,1913,107
803550,jake,george,5.0,burkitt street,04 75210574,the willows,4551,qld,paralowe,2008,12
236330,james,leesong,54.0,wettenhall circuit,03 49096776,brentwood vlge,2830,nsw,camperdown,1989,31
580754,anton,rundle,56.0,tauss place,07 80290996,robina,3195,vic,cooya beach,1951,69
401648,gabrielle,shepherd,5.0,lowrie street,04 20575866,None,2770,nsw,ashfield,1955,65
788519,marco,campbell,17.0,abrahams crescent,04 25227606,None,2430,nsw,port germein,1981,39
113986,samuel,menzies,28.0,benny place,07 21513738,oreel,4555,qld,toronto,1947,73
686146,ella,blake,1.0,sellwood street,02 03793285,None,5163,sa,emu plains,1953,67
229312,georgia,mckerlie,12.0,gatehouse place,07 42376634,kintyre,4565,qld,macquarie fields,1916,104
112666,liam,ryan,13.0,eaglemont retreat,03 12284691,kimbe,2577,nsw,bidwill,1961,59
400804,montana,hanna,557.0,port jackson circuit,08 85479999,north star resort,3818,vic,kahibah,1988,32
234633,alexis,white,214.0,fitzhardinge crescent,03 75066893,None,3942,vic,west wollongong,1908,112
388998,web,corie,91.0,collings street,07 83704242,None,4506,qld,berwick,1988,32
950937,alex,death,29.0,wyangala street,0,None,6108,wa,cooma,1992,28
728776,jenna,cuming,40.0,lendon place,07 80972611,None,3174,vic,risdon park,1966,54
807611,brooklyn,waterlow,4.0,brebner street,08 81321006,None,3216,vic,coffs harbour,1926,94
384806,madelibe,lomman,14.0,lawley street,04 49295527,None,2770,nsw,burwotvd,1995,25
894824,benjamin,seddon,113.0,monaro crescent,03 07007789,None,4060,qld,yunderup,1905,115
130535,isabella,miles,13.0,currie crescent,02 73786349,henry kendall bayside,4516,qld,geelong east,1911,109
475713,lushia,ho,92.0,irvine street,08 91984755,None,4350,qld,parkerville,1921,99
938688,alissa,hawes,27.0,rosman circuit,03 27837628,borambil,4216,qld,elsternwick,1947,73
451279,emiily,wilkey,78.0,catani place,07 82156796,None,1000,nsw,thornlie,1956,64
921654,connor,mccaxbthy,2.0,shirra close,08 20081083,blue hills,5153,sa,keiraville,1917,103
701661,malakai,boxer,15.0,perry drive,07 31886715,None,2203,nsw,mittagong,1914,106
747972,flynn,paterson,4.0,de little circuit,0,mossburn,3067,vic,magill,1980,40
589570,jordan,dolan,83.0,coobina place,04 34476350,None,3175,vic,goodna,1964,56
556551,zali,paterson,59.0,thring place,07 92781865,comer,7315,tas,st clair,1917,103
373109,zac,dibben,43.0,docker place,07 46802269,None,3106,vic,millgrove,1958,62
124538,xavier,green,5.0,nyawi place,02 72759527,ferndale,6030,wa,westfield,1922,98
994498,madison,shadbilt,20.0,kellermann close,0,mayo,4211,qld,appila,1912,108
301664,luke,roff,63.0,torrens street,04 84667821,calandra,6230,wa,lilydale,1983,37
591234,domenique,paterson,19.0,lennard street,04 41219378,wiltshire,2756,nsw,orange,1989,31
999684,charlie,hendricks,32.0,david street,0,None,4740,qld,yass,1935,85
239182,ellen,bradshaw,21.0,timbarra crescent,02 16332244,None,3782,vic,murrumbateman,1962,58
572525,adam,matthews,13.0,temperley street,08 29811878,None,4034,qld,marmion,1999,21
258338,aikaterina,nguyen,95.0,percival street,07 39061005,mandurah gardens est,3138,vic,dinner plain,1901,119
284064,cassidy,menzies,13.0,ardlethan street,07 04444290,None,2040,nsw,shoalhaven heads,1947,73
314020,tia,hingston,21.0,harrington circuit,02 49170316,clear creek,2603,act,daisy hill,1993,27
723094,stephanie,kilby,22.0,kenyon circuit,03 81017217,None,1000,nsw,brooweena,1908,112
997421,jacinta,crook,8.0,flora place,03 57082050,None,2233,nsw,ringwood,1955,65
715270,charlie,cloudsdale,24.0,barr-smith avenue,03 13258842,None,2103,nsw,craigie,1906,114
745914,chloe,white,99.0,badgery street,02 90591292,berkeley village,3044,vic,watsonia,1946,74
219176,monique,schuster,16.0,davice place,03 35027024,the mall springwood,7277,tas,penrith,1925,95
318126,patrick,mason,54.0,kinkead street,03 97399675,redwood village,2096,nsw,leongatha,1929,91
318969,michael,cadman,2.0,stawell street,0,tilbrook,3038,vic,avondale heights,1917,103
222409,chelsea,croker,45.0,yeo close,08 81616551,None,2011,nsw,bundaberg,1982,38
647707,isabella,capel,1.0,eildon place,08 15111884,tricare nursing,2035,nsw,duri,1948,72
353618,ronan,ryan,7.0,eagle circuit,02 34652003,None,2026,nsw,avondale heights,1928,92
869598,renai,neylon,10.0,beattie crescent,07 90693190,None,5108,sa,slacks creek,1929,91
150015,lauren,matthews,3.0,serpentine street,0,None,3857,vic,waterloo,1940,80
872838,louis,zablocki,8.0,ashburton circuit,08 67386371,None,3631,vic,rylstone,1910,110
222096,matilda,ho,10.0,dumaresq street,08 94813576,rp 24089,4066,qld,ringwood,1943,77
731347,joshua,campbell,21.0,gallagher street,07 05413720,None,4674,qld,bowral,1987,33
285340,cooper,chandler,38.0,grayson street,08 01498729,None,7321,tas,kincumber,1990,30
210687,lucas,fergie,5.0,None,08 41146883,cytorna,6210,wa,duncraig,1942,78
974371,bailey,bishop,41.0,beasley street,08 78956976,None,2037,nsw,thornbury,1901,119
511357,imogen,kammermann,697.0,currong street,08 33305250,None,2650,nsw,ettalong,1983,37
835716,sara,fretwell,1.0,marshall street,02 53671873,None,2026,nsw,moonah west,1984,36
205878,isabella,denholm,16.0,epenarra close,07 04587334,None,2210,nsw,bonny hills,1962,58
827270,etahn,mccarthy,2014.0,blackburn street,02 81234799,None,2106,nsw,robina,1943,77
298286,mia,blake,30.0,ijong street,03 64395660,ravensfield,2587,nsw,bowral,1918,102
873290,max,thorpe,23.0,fleetwood smith street,03 82054952,None,3266,vic,bondi junction,1953,67
874684,amber,nguyen,10.0,janga place,08 71827635,windermere tower,3015,vic,camp hill,1948,72
264899,hannah,clutterbuck,386.0,goyder street,07 89208581,broome vacation village,5045,sa,elizabeth park,1966,54
424767,madison,ebert,25.0,johnstone circuit,04 50517019,rocklow,3204,vic,condon,1900,120
961882,emiily,hadchiti,38.0,kallara close,08 15773600,None,2296,nsw,geraldton,1960,60
979858,george,kerley,12.0,alpen street,08 27295596,None,2787,nsw,patterson lakes,1900,120
479989,lauren,bolis,4.0,brittlebank circuit,07 23300770,None,2329,nsw,como,1983,37
515515,None,newbound,42.0,kingsmill street,03 73313147,None,7250,tas,belmont north,1941,79
143585,isabella,lutz,95.0,ivo whitton circuit,03 59747676,rosetta village,4077,qld,port macquarie,1965,55
471369,emiily,matthews,331.0,corinna street,07 27398863,None,2285,nsw,penrith,1996,24
164044,lily,novis,3.0,currey street,03 57162833,bunderry,4560,qld,mount annan,1900,120
542296,finn,waller,6.0,None,04 44650300,vambi back,3071,vic,oakleigh,1962,58
209556,charlotte,snell,3.0,scott street,02 77465664,None,4408,qld,hackham west,1958,62
626981,ryan,weaver,0.0,flanagan street,08 03117176,None,5291,sa,noble park north,1927,93
981691,lara,radinovic,112.0,carne place,08 00595861,None,3180,vic,kellerberrin,1902,118
867595,charlotte,talladira,29.0,tipping place,07 32813175,None,2250,nsw,ashfield,1938,82
300235,harrison,wisby,5.0,lawrence wackett crescent,08 08763912,None,4562,qld,two rocks,1937,83
125939,liam,clarke,868.0,mount vernon drive,08 19772239,uc-dai-loi,2488,nsw,winchelsea,1983,37
252906,ebony,blake,16.0,gsell place,02 69968192,carrington retrmnt vlge,3156,vic,portarlington,1974,46
642335,joshua,godfrey,180.0,narambi street,03 08600403,drayton,4567,qld,morwell,1992,28
388249,kyle,vincent,59.0,learmonth drive,03 98618663,graham,3722,vic,glen innes,1908,112
175766,lara,klemm,16.0,bambridge street,02 31186747,None,2264,nsw,mount stuart,1948,72
508923,finley,orchard,16.0,tarrabool street,08 08073556,macovin ridge,2340,nsw,sandgate,1977,43
515192,jasmine,mollross,61.0,patey street,02 64513078,None,4808,qld,broadmeadows,1971,49
668550,hayley,siew,28.0,totterdell street,03 66856773,kularoo garden,2021,nsw,mount warren park,1906,114
487261,oliver,wraight,11.0,macqueen place,04 99818419,None,4053,qld,wandin north,1906,114
910208,chloe,pengler,152.0,brand street,04 46916282,None,6530,wa,greenacre,1918,102
785440,kimberly,graue,1.0,grieve place,07 36116495,marebone,7253,tas,kingsford,1958,62
752664,reeve,dixon,6.0,hopetoun circuit,03 16803416,merri banks,2121,nsw,centennial park,1962,58
554589,christopher,hamdan,3.0,caldwell street,02 54363748,None,2428,nsw,werrington,1943,77
237848,amaya,clisby,175.0,rutherford crescent,07 19639912,boxwood hill,2602,act,downer,1953,67
717075,kyle,perriam,111.0,chataway crescent,03 49002624,None,4730,qld,cabramatta,1913,107
227948,thomas,zehetner,58.0,laughton street,02 47352994,willandra village,5070,sa,berwick,1948,72
679304,jorja,orchard,17.0,purnell place,07 13693097,old post office,3205,vic,cremorne,1958,62
502690,jaiden,miles,71.0,body place,07 51111058,None,2259,nsw,kellyville,1923,97
599046,riley,humphreys,12.0,chandler street,07 72103858,None,2669,nsw,beachlands,1900,120
551269,rhys,trace,7.0,carandini street,04 52193930,None,6240,wa,ourimbah,1905,115
121959,evna,reid,1.0,minchin place,03 34844476,None,2795,nsw,mount stuart,1916,104
760890,garth,snell,17.0,mcclintock street,08 40552403,baranbali,3072,vic,clayton,1947,73
850216,deakin,ratsourinh,16.0,musson close,02 20501853,None,3182,vic,newmarket,1951,69
890180,flynn,mcneill,4.0,finniss crescent,07 79834770,tiverton,3156,vic,ashwood,1948,72
328576,jacob,gully,38.0,damala street,08 08774502,blue gum hill,2161,nsw,vermont south,1987,33
637833,eliza,hage,11.0,pedley place,08 07707079,deauville,3936,vic,brighton,1953,67
265838,mikayla,richardon,6.0,colvin street,03 08887504,None,5162,sa,glengowrie,1905,115
435674,alexander,nguyen,9.0,starke street,03 79554556,None,7030,tas,swan hill,1958,62
979989,shannon,du,14.0,wallaroo road,0,None,6025,wa,caulfield north,1982,38
161087,thomas,ah chin,273.0,lyrebird place,04 10315020,locn 10045,5095,sa,seven hills,1902,118
693128,kye,nguyen,24.0,wakelin circuit,07 76329772,brentwood village,2250,nsw,granville,1935,85
218451,mia,campbell,28.0,london circuit,08 89946416,None,6056,wa,rowville,1976,44
547600,max,mcgregor,33.0,beeston street,08 40410088,None,2165,nsw,bayswater,1970,50
937437,maconal,green,239.0,beazley crescent,04 24198320,None,6155,wa,waterloo,1944,76
539792,joel,miles,61.0,pandanus street,0,north road,4825,qld,marmion,1939,81
139353,abii,sires,0.0,badimara street,02 16820521,None,2590,nsw,woollahra,1967,53
293075,connor,green,0.0,corowa estate,04 00830746,bambridge street,4507,qld,greenwood,1997,23
314283,adela,dibben,21.0,pelsart street,04 49138094,parkside mews,2043,nsw,bonnyrigg,1994,26
414877,william,jolly,7.0,noble close,08 03238046,None,3141,vic,malvern east,1908,112
165318,connor,rushforth,160.0,pattinson crescent,04 50277719,None,3444,vic,blackmans bay,1972,48
865313,claudia,sherriff,57.0,port jackson circuit,03 79552447,caroki,3198,vic,hoppers crossing,1922,98
582690,oliver,stockall,157.0,crawford crescent,08 36883992,None,6707,wa,long jetty,1906,114
516880,laklynn,karanikolis,135.0,None,02 70209914,robertson barracks,3160,vic,kyabram,1996,24
691460,benjamin,weidenhoffer,436.0,kadina crescent,03 02607538,None,7310,tas,joyndr,1954,66
840976,jaiden,hope,4.0,rapanea street,03 88568408,sanctuary lodge,2527,nsw,broadmeadows,1911,109
881239,pia,dorrell,163.0,colebatch place,08 42139052,None,2099,nsw,west lakes,1928,92
193264,erin,campbell,23.0,corin place,08 82777865,wirrabilla,6210,wa,cronulla,1988,32
870746,tyler,able,15.0,marcus clarke street,02 00493853,None,3333,vic,wannissa,1983,37
913168,gabrielle,grzesniak,69.0,shakespeare crescent,04 69236727,None,2045,nsw,newmarket,1975,45
325281,amy,ryan,7.0,ainslie avenue,07 15382363,None,3305,vic,vaucluse,1924,96
737147,sarah,wiseman,50.0,glossop crescent,02 88878709,cabbage tree,3550,vic,urbenville,1996,24
998613,oliver,green,106.0,william wilknns crescent,07 85251953,None,4615,qld,blacktown,1983,37
494070,ellouise,mcneill,20.0,wilson street,07 26316392,None,4101,qld,broken hill,1907,113
452228,bree,morganti,6.0,None,04 02250760,None,2096,nsw,smithfield,1992,28
531839,isabel,mcwhirter-whitlock,46.0,o'sullivan street,07 97293618,None,4350,qld,salter point,1988,32
369536,None,karlsen,76.0,syme crescent,02 59641669,None,7290,tas,arthurs creek,1963,57
417824,madison,white,7.0,ellerston avenue,03 14448718,None,3892,vic,tuart hill,1925,95
357426,caitlin,starega,69.0,inkster street,08 45411787,None,2147,nsw,williamstown,1953,67
277789,charlie,dent,0.0,belah street,04 25212148,crystal brook farm,5090,sa,belmont,1985,35
613153,matthew,hannagan,61.0,burrowa street,08 10209617,casuarina village,2324,nsw,orange,1938,82
842452,cain,mcpeace,93.0,national circuit,02 23024809,moorhouse,6010,wa,east fremantle,1950,70
937291,None,mason,8.0,tauss place,08 48534922,None,2358,nsw,franklin,1913,107
225657,None,hamon,164.0,mcelhone court,0,None,5290,sa,newborough,1923,97
335167,zoe,frahn,5.0,wilkins street,07 76029445,townview,2024,nsw,magill,1972,48
781669,gabrielle,ang,16.0,narrabundah lane,08 63736128,None,5341,sa,punchbowl,1919,101
580671,zachary,clarke,2.0,mirning crescent,04 88794645,d'naleri grove,2612,act,penshurst,1927,93
819094,ryleh,stephenson,71.0,o'connor circuit,02 68816295,rosetta village,3350,vic,matraville,1931,89
170467,tynan,godfrey,10.0,henty street,07 91496506,the lodge,2650,nsw,raymond terrace,1975,45
283734,olivia,ziersch,20.0,bugden avenue,08 36824008,shallow crossing,5351,sa,bunbury,1973,47
722794,tara,farnham,50.0,macfarland crescent,04 01413848,tathra,4285,qld,keilor,1918,102
209751,george,singleton,3.0,boolee street,07 87504359,None,4127,qld,tingalpa,1972,48
481050,logan,coffey,14.0,babinda place,04 71502640,None,3803,vic,balcatta,1928,92
911774,dillon,trevorrow,64.0,mileham street,03 52183860,None,7250,tas,thirroul,1996,24
792517,georgia,white,4.0,proctor street,07 55768761,kurrajong,3146,vic,landsdale,1976,44
561079,thomas,callahan,6.0,leahy close,02 94600265,None,2605,act,hawthorne,1928,92
468452,william,chittleborough,148.0,antis street,03 95286673,fairhavens,4655,qld,thornleigh,1954,66
206081,brigette,adair,53.0,barraclough crescent,08 74147266,None,4410,qld,athol park,1998,22
713333,paris,benger,353.0,armstrong crescent,0,the willows,2137,nsw,yeronga,1971,49
658986,harrison,becirevic,3.0,dixon drive,07 68606619,villa 2,2768,nsw,balwyn north,1922,98
210078,alysha,plane,79.0,sargood street,02 20137796,kilngrove,4128,qld,hackham,1958,62
967055,leo,patafta,444.0,maranboy street,03 95257814,cherry haven,3478,vic,cronulla,1909,111
122671,bailee,whire,34.0,rapanea street,07 29489259,None,3630,vic,ngunnawal,1950,70
518400,joel,jolly,1.0,barr-smith avenue,08 92731068,None,2040,nsw,annandale,1952,68
455528,joel,moody,125.0,bundey street,08 19591563,None,5011,sa,east innisfail,1923,97
710490,megan,cannell,33.0,dobell circuit,03 23081486,None,2526,nsw,mossy point,1901,119
151663,lauren,moody,11.0,lynch street,03 07448476,None,3977,vic,crows nest,1911,109
115708,christopher,waller,20.0,charterisville avenue,04 57948541,None,2470,nsw,vincentia,1986,34
978338,luke,ryan,15.0,dugdale street,03 77631902,quarter deck,2460,nsw,port pirie,1975,45
411955,madeleine,mason,448.0,wynter place,07 52230231,virginia estate,2009,nsw,largs north,1981,39
233883,tarnia,lengerink,29.0,bainton crescent,07 36420755,None,2161,nsw,frankston,2011,9
418394,william,None,42.0,rossarden street,07 78694844,None,3194,vic,kincumber,1922,98
212547,stekla,matthews,164.0,canberra avenue,04 26366892,None,2011,nsw,waramanga,1969,51
659042,daniel,formichella,84.0,arnot place,02 64754020,loughmore,3214,vic,dandenong north,1911,109
851102,mitchell,campbell,22.0,foskett street,04 59048407,backacres,5554,sa,clayton,1951,69
862002,joshua,brackett,32.0,reveley crescent,02 76309531,berady,2777,nsw,wallsend,1933,87
242483,barnaby,clarke,93.0,studley street,08 35077003,None,2617,act,como,1944,76
758271,aiden,meseek,6.0,cameron street,07 34339249,None,2500,nsw,clahton,1938,82
